Tweets,Relevance
"Mon Sep 28 23:02:34 +0000 2015 REMINDER:  under  lanes closed one direction at a time tonight, 9/28 11pm-5am",Relevant
Mon Sep 28 22:04:00 +0000 2015   Please report location of the sign to  for removal via free 311 app or online here:,Non-Relevant
"Mon Sep 28 19:31:50 +0000 2015   two westbound lane closures, 10/1 thru 10/3, 1am-5am",Relevant
"Mon Sep 28 19:03:20 +0000 2015 Once you've tried the seats, log your vote at      ",Non-Relevant
Mon Sep 28 18:30:39 +0000 2015 Resurfacing work along the  is suspended for the week of 9/28/15. Updates here:,Non-Relevant
Mon Sep 28 18:29:40 +0000 2015  Have you contacted a DOT Borough Commissioner's office? You can request that your street be reviewed.,Non-Relevant
"Mon Sep 28 17:32:25 +0000 2015 Another free  check is coming to  on 10/2, 12pm-1pm! Set up an appt by calling 212-839-4750.",Non-Relevant
"Mon Sep 28 16:59:39 +0000 2015  The Water Club and Heliport operate the service roads,  may have updates on the project.",Non-Relevant
"Mon Sep 28 16:50:33 +0000 2015  Slip 1 is used frequently, tho slip usage is determined by tide conditions, harbor traffic, vessel maneuverability/maintenance",Non-Relevant
Mon Sep 28 15:11:41 +0000 2015  Rehabilitation Project:  One Week Lookahead,Non-Relevant
Mon Sep 28 14:39:48 +0000 2015 What seat would you like to see on the new  Test out three options at  this week!,Non-Relevant
Mon Sep 28 14:34:42 +0000 2015  The Gowanus Expressway is owned by  - Please contact them regarding your concern.,Non-Relevant
Mon Sep 28 14:17:02 +0000 2015    Pls report faded lane markings to  here,Non-Relevant
Mon Sep 28 14:12:27 +0000 2015  Please share your concerns with DOT's Brooklyn Borough Commissioner's office here:,Non-Relevant
Fri Sep 25 15:44:53 +0000 2015  DOT street ambassadors are giving away bike bells while supplies last at 28th St &amp; 1st Av  ,Non-Relevant
Fri Sep 25 15:21:20 +0000 2015  Please contact DOT's Boro Comm office regarding your inquiry.,Non-Relevant
Fri Sep 25 15:19:15 +0000 2015  Please feel free to contact DOT's Manhattan Boro Comm's office for more info about this location:,Non-Relevant
Fri Sep 25 15:09:18 +0000 2015   Please feel free to contact DOT's Queens Boro Comm office regarding this location:,Non-Relevant
Fri Sep 25 15:05:21 +0000 2015  You can download our maps for free from our website! Or call 311 to request NYC bike or truck maps be mailed to you.,Non-Relevant
Fri Sep 25 15:00:43 +0000 2015 Last night our crews installed more barriers for the new  dedicated  lane.,Non-Relevant
Thu Sep 24 20:46:05 +0000 2015 25 concrete barriers have been put in place on the  side of the  bike path.,Non-Relevant
Thu Sep 24 20:04:12 +0000 2015   Bridge may close for up to 15min at a time as needed btn 7am-7pm to permit marine traffic to pass per Coast Guard,Relevant
Thu Sep 24 20:00:49 +0000 2015  The SI Ferry is operating on a normal schedule.,Non-Relevant
Thu Sep 24 19:40:54 +0000 2015 Finish September strong at the   9/27 12pm-5pm on  b/w 39th and 41st Ave!,Non-Relevant
Thu Sep 24 18:08:15 +0000 2015 Update: This event has been rescheduled for 10/17 from 11am-12:30pm. Stay tuned for more info!,Non-Relevant
Thu Sep 24 17:52:29 +0000 2015 Emergency crews continue to work on  17th St. pedestrian overpass after this morning's  ,Non-Relevant
Thu Sep 24 17:48:41 +0000 2015   Please report locations to  as 'out of order' on the free 311 app or online here:,Non-Relevant
Thu Sep 24 17:06:04 +0000 2015 Catch us &amp; CM  at  in  on 9/27 from 12pm-3pm for another free  ,Non-Relevant
Thu Sep 24 16:02:32 +0000 2015  Please request this info by contacting DOT's Comm office here:,Non-Relevant
Thu Sep 24 15:02:10 +0000 2015  Please check with  - they own the Jackie Robinson Parkway.,Non-Relevant
Thu Sep 24 15:00:33 +0000 2015    Once the MTA restores the 2nd Ave roadway we will complete the 2nd Ave bike lane.,Non-Relevant
"Thu Sep 24 14:51:18 +0000 2015  No work planned 9/25 on Battery Park Underpass, though streets may face interruptions. Road closure info:",Relevant
Thu Sep 24 14:47:06 +0000 2015  We expect to be able to accommodate any add'l ferry riders on the regular schedule during the Pope's visit.,Non-Relevant
Thu Sep 24 13:53:53 +0000 2015 Emergency crews repairing 17thSt. ped overpass on  due to  No trucks permitted on parkways,Non-Relevant
Wed Sep 23 22:02:02 +0000 2015    There are no plans to close the East River bike path.,Relevant
Wed Sep 23 21:22:45 +0000 2015    Road closures are posted here:,Relevant
"Wed Sep 23 19:09:24 +0000 2015 These  riders gave us feedback, now we want to hear from you!  SBS survey:   ",Non-Relevant
Wed Sep 23 18:55:16 +0000 2015    You may follow up w/local police precinct or DOT Boro Com for info about your car,Non-Relevant
Wed Sep 23 18:53:43 +0000 2015    DOT does not tow cars for ASP. Perhaps your street is scheduled to be resurfaced...,Non-Relevant
Wed Sep 23 18:18:27 +0000 2015  Follow  expansion here:  and be sure to request locations here:  Thx!,Non-Relevant
Wed Sep 23 18:09:40 +0000 2015    Please share your NYC bike share station request with us on our map!,Non-Relevant
Wed Sep 23 17:58:34 +0000 2015  Please share your suggestion for a bike lane with your DOT Borough Commissioner's office:,Non-Relevant
"Wed Sep 23 17:35:44 +0000 2015 Tweet us your pics of the Skillman Avenue  this Sat &amp; next Sat, 9/26 &amp; 10/3 from 4pm-8pm, on Skillman Ave b/w 45th and 52nd St!",Non-Relevant
Wed Sep 23 16:49:22 +0000 2015    We expect to be able to accomodate any add'l ferry riders on the regular schedule during Pope's visit,Non-Relevant
Wed Sep 23 14:16:22 +0000 2015 Bring in Fall by joining us &amp; CM  for a free helmet fitting at  on 9/26 from 11am-2:30pm!,Non-Relevant
Wed Sep 23 14:01:21 +0000 2015    Pls contact Bk Boro Comm about this utility repair &amp; to request a speed bump,Non-Relevant
Wed Sep 23 13:54:51 +0000 2015  Please feel free to share your suggestion with us by contacting our Borough Commissioner's office here:,Non-Relevant
"Wed Sep 23 13:04:21 +0000 2015 REMINDER:  under  lanes closed one direction at a time tonight, 9/23 11pm-5am",Relevant
Tue Sep 22 22:07:04 +0000 2015 DOT's street ambassadors were out on 1st Ave this afternoon installing  to help NYC cyclists  ,Non-Relevant
Tue Sep 22 21:56:00 +0000 2015   Please report faded lane markings to  here:  Thank you,Non-Relevant
Tue Sep 22 18:14:19 +0000 2015  You're in luck!  is already scheduled to be suspended tomorrow 9/23 through Friday 9/25 for Eid al-Adha,Non-Relevant
"Tue Sep 22 17:42:23 +0000 2015 DOT  Boro Commissioner Connie Moran announces the installation of our 1,500th  - 6 benches at  ",Non-Relevant
"Tue Sep 22 16:40:52 +0000 2015  intermittent 15-min daytime full bridge closures, 9/25-10/2 7am-7pm",Relevant
Tue Sep 22 15:11:50 +0000 2015 Next up for ! We will begin planning &amp; outreach process to install protected  lane on  btn 14th-33rd St,Non-Relevant
"Tue Sep 22 15:08:15 +0000 2015 In total NYC has reached 1,010 miles in the  network  ",Non-Relevant
Tue Sep 22 15:02:06 +0000 2015 Celebrating  of  lanes at the new 2-way bike route on Clinton St.,Non-Relevant
Tue Sep 22 14:58:03 +0000 2015 On our way to complete over 12 miles of protected  lanes before the year's end!,Non-Relevant
Tue Sep 22 14:31:16 +0000 2015 Can you guess where we are this morning? Hint: this street marks  for NYC!!,Non-Relevant
Tue Sep 22 13:11:27 +0000 2015  Please check with the  they maintain and operate the Henry Hudson Bridge. More info:,Non-Relevant
Tue Sep 22 13:08:32 +0000 2015  thanks for the tweet - please report the exact location to  online here:,Non-Relevant
Mon Sep 21 20:06:11 +0000 2015   Pls contact police regarding traffic enforcement. Share transportation concerns with DOT here:,Non-Relevant
Mon Sep 21 20:02:12 +0000 2015   Please visit  for information about road closures,Non-Relevant
Mon Sep 21 19:04:00 +0000 2015  &amp;  parents! Call 212-839-4750 to set up a free  check this wk. Details:  ,Non-Relevant
Mon Sep 21 16:28:25 +0000 2015   webform:  is the most efficient way to report this condition.,Non-Relevant
Mon Sep 21 15:25:59 +0000 2015 Live/work in  Join tonight's workshop on transportation issues at J.Hood Wright Rec Ctr 7-8:30pm,Non-Relevant
Mon Sep 21 15:05:56 +0000 2015 Extended single lane closures continuing 9/23 on   &amp; Woodhaven Blvd Service Rds. See below:,Non-Relevant
Mon Sep 21 14:22:48 +0000 2015 Public Workshop tonight re transportation in  7-8:30pm at J.Hood Write Rec Center 351 Fort Wash Ave,Non-Relevant
Mon Sep 21 14:04:47 +0000 2015 Tonight 6:30pm at 2038 Davidson Ave Bx: Public Mtg re  ped/bike access  ,Non-Relevant
Mon Sep 21 14:03:14 +0000 2015 Pavement maintenance work along  is suspended for the week of 9/21. Updates,Non-Relevant
Mon Sep 21 13:43:09 +0000 2015 Beautiful view of the  from this waterfront park!    ,Non-Relevant
Mon Sep 21 13:36:07 +0000 2015   Very cool! Check out the resources that  have for  trails:,Non-Relevant
Mon Sep 21 13:33:44 +0000 2015  Please report illegal parking in progress online:   or with the free  App:,Non-Relevant
Mon Sep 21 13:32:59 +0000 2015  Please be sure to thank  for this project! MT SI Expressway is transforming into a nice smooth roadway thanks to,Non-Relevant
Mon Sep 21 13:27:07 +0000 2015  Pls report location &amp; condition to    Resurfacing:,Non-Relevant
Mon Sep 21 13:23:48 +0000 2015  Please feel free to contact DOT's Boro Commissioner office regarding your inquiry:,Non-Relevant
Mon Sep 21 13:22:10 +0000 2015  Please report illegal parking in progress online:  or with the free  App,Non-Relevant
"Mon Sep 21 13:04:04 +0000 2015 REMINDER:  under  lanes closed one direction at a time tonight, 9/21 11pm-5am",Relevant
Sat Sep 19 19:45:30 +0000 2015 New Yorkers learned how to properly buckle up their kids during our free  event this morning  ,Non-Relevant
Fri Sep 18 22:02:44 +0000 2015  &amp; avoid  - Check our weekend  here:,Non-Relevant
"Fri Sep 18 21:47:48 +0000 2015   Once the MTA restores the 2nd Ave roadway, we will complete the 2nd Ave bike lane.",Non-Relevant
"Fri Sep 18 20:45:26 +0000 2015  night lane closures in both directions over  9/22-10/3. One lane closed 11pm-5am, two lanes 1am-5am",Relevant
"Fri Sep 18 19:42:56 +0000 2015  intermittent 20-min early morning closures, Sat 9/19 2am-5am.",Relevant
Fri Sep 18 19:06:53 +0000 2015 Crews saw cut existing concrete to begin excavating  new  barrier.  ,Non-Relevant
Fri Sep 18 18:31:17 +0000 2015   Please contact  to request flagger/signage for this construction site. em: forsythplzccl,Non-Relevant
Fri Sep 18 18:08:54 +0000 2015  Reminder: please report non-emergency illegal parking to   ,Non-Relevant
Fri Sep 18 18:08:24 +0000 2015  Please feel free to share your transportation suggestions with DOT Borough Commissioner's office:  (2/2),Non-Relevant
Fri Sep 18 18:06:32 +0000 2015  Please report non-emergency illegal parking to  :  or via free 311 app (1/2),Non-Relevant
Fri Sep 18 18:05:55 +0000 2015 Monday 6:30pm at 2038 Davidson Ave Bx: Public Mtg re  ped/bike access  ,Non-Relevant
Fri Sep 18 17:54:32 +0000 2015   Please share your request for safety education with DOT's Queens Boro Comm office here:,Non-Relevant
Fri Sep 18 17:49:57 +0000 2015  The Henry Hudson Bridge is maintained by  - Please contact them regarding your inquiry.,Non-Relevant
"Fri Sep 18 17:15:21 +0000 2015  morning full closures of either north or south tube continue Tues-Fri 12:01am-5am, Sat 1am-8am",Relevant
Fri Sep 18 16:13:37 +0000 2015    Please contact DOT Boro Comm office regarding netting suggestion:,Non-Relevant
Fri Sep 18 15:07:22 +0000 2015 Swing by  for fun bike activities at Sunken Meadow Playground in  9/19 11am-2:30pm!,Non-Relevant
Fri Sep 18 15:06:59 +0000 2015 Tomorrow is Seat Check Sat! When is the last time you checked your child's car seat?   ,Non-Relevant
Fri Sep 18 14:06:59 +0000 2015   Please contact  regarding signage for the  construction along Gowanus Expressway,Non-Relevant
Thu Sep 17 19:25:03 +0000 2015  Hi  Have you reported this location to  ? Here's how to report online,Non-Relevant
Thu Sep 17 19:23:42 +0000 2015   Concerns about this location and intercity bus stops may be directed to DOT's Boro Comm office:,Non-Relevant
Thu Sep 17 18:31:31 +0000 2015 It's Child Passenger Safety Week! Take some time to make sure your child's car seat is correctly installed:  ,Non-Relevant
Thu Sep 17 17:46:53 +0000 2015  The Van Wyck is owned by  - Please contact them with your inquiry.,Non-Relevant
Thu Sep 17 16:41:39 +0000 2015 . reports: Adorable surprise for DOT crew at  today: kittens!,Non-Relevant
Thu Sep 17 14:34:33 +0000 2015 DOT is committed to making the most of our role in managing streets by working to actively minimize congestion and keep our City moving.,Non-Relevant
Thu Sep 17 14:33:00 +0000 2015 Deputy Commissioner Russo testifies at Borough President's hearing regarding Manhattan congestion.,Non-Relevant
Thu Sep 17 14:16:15 +0000 2015 Tonight 6:30pm at 459 W152nd St - Public Mtg about bike/ped &amp;   ,Non-Relevant
Thu Sep 17 14:03:42 +0000 2015 Touring the  this morning with  Assembly Members Titus &amp;  &amp;  Rep,Non-Relevant
Thu Sep 17 13:25:31 +0000 2015 Make sure your child's  is installed correctly at our  Car Seat Check   355 Bard  Fri 9/18 9:30-11:30am,Non-Relevant
Wed Sep 16 22:27:48 +0000 2015 NYC DOT Commissioner joined   to discuss  tech More info  ,Non-Relevant
Wed Sep 16 21:57:05 +0000 2015 73% of car seats are not used/installed correctly. Is yours?  checklist to find out:  ,Non-Relevant
Wed Sep 16 20:47:32 +0000 2015 Street closures for  General Assembly begins Friday 9/18 through 10/3.  ,Relevant
Wed Sep 16 18:32:11 +0000 2015 . &amp;  ask  riders for feedback  Share your comments here:  ,Non-Relevant
Wed Sep 16 16:52:27 +0000 2015 . launches  Every  ride helps raise money for charity thru 10/16  ,Non-Relevant
Wed Sep 16 14:45:08 +0000 2015   Thermoplastic sticks better to asphalt than to concrete. Our specifications are evolving to improve this.,Non-Relevant
"Wed Sep 16 14:20:53 +0000 2015  under  closed one direction at a time on three nights - 9/21, 9/23 &amp; 9/28 11pm-5am",Relevant
Wed Sep 16 14:02:46 +0000 2015  Please share your signal timing suggestion with our Brooklyn Borough Commissioner's office here:,Non-Relevant
Tue Sep 15 19:29:12 +0000 2015 Coming soon to    by  presented by  &amp;  ,Non-Relevant
Tue Sep 15 19:20:22 +0000 2015  Please report debris on bridge to  here:  Thank you,Non-Relevant
Tue Sep 15 15:29:09 +0000 2015  Please feel free to contact DOT's Brooklyn Borough Commissioner's office regarding this location:,Non-Relevant
Tue Sep 15 14:43:36 +0000 2015  Please report trash cans blocking a street to  here:,Non-Relevant
Tue Sep 15 14:40:01 +0000 2015  Notice posted 24-48hrs in advance of scheduled work   Cars are relocated to nearest legal...,Non-Relevant
Tue Sep 15 14:25:48 +0000 2015  Please share your speed bump suggestion with DOT's Staten Island Borough Commissioner's office here:,Non-Relevant
Tue Sep 15 13:39:04 +0000 2015  we cannot wait to see your next photo of  ,Non-Relevant
Tue Sep 15 13:23:06 +0000 2015   Parking meters are still in effect with today's  suspension. Parking is enforced by NYPD.,Non-Relevant
Tue Sep 15 11:46:02 +0000 2015  is suspended today for  Follow  for daily updates.,Non-Relevant
"Mon Sep 14 20:06:06 +0000 2015 The annual  festival is back in  on 9/19 &amp; 9/26, 1pm-6pm on Havemeyer St b/w South 4th &amp; Grand St!",Non-Relevant
"Mon Sep 14 18:25:15 +0000 2015 Up to 10,000 vehicles will have this revolutionary technology installed, including taxis, MTA buses &amp;  trucks",Non-Relevant
Mon Sep 14 18:13:46 +0000 2015 Connected Vehicle Technology will alert drivers and others on the street to potential dangers  ,Non-Relevant
Mon Sep 14 18:07:18 +0000 2015  joins us at TMC to announce an exciting award of up to $20M for NYC Connected Vehicle Project,Non-Relevant
Mon Sep 14 16:09:53 +0000 2015     Do you have a SR  This cave-in may have been referred to utility company for repair.,Non-Relevant
Mon Sep 14 15:13:56 +0000 2015 This week pavement maintenance work continues along S/B  btn E55th to E48th St. on M-F approx 11pm-5am,Non-Relevant
Mon Sep 14 14:19:52 +0000 2015  Please share your suggestion with DOT's SI Borough Commissioner's office here:,Non-Relevant
Mon Sep 14 14:03:22 +0000 2015  Please report street sign error to us via  here:  Thank you,Non-Relevant
Mon Sep 14 13:55:55 +0000 2015    Please contact DOT's Manhattan Borough Commissioner's office to request a stop sign:,Non-Relevant
Mon Sep 14 13:51:20 +0000 2015   Please report illegal parking in progress online:  or with  App:,Non-Relevant
Mon Sep 14 13:50:07 +0000 2015  Please feel free to share your transportation concern with DOT's Brooklyn Borough Commissioner's office here,Non-Relevant
Mon Sep 14 13:16:22 +0000 2015 Help improve access to  at Access Plan Workshops 9/17 &amp; 9/21 for area north of,Non-Relevant
Mon Sep 14 11:55:28 +0000 2015 Remember  is suspended today &amp; Tuesday for  Follow  for daily updates.,Non-Relevant
Sun Sep 13 15:43:04 +0000 2015 Congrats to  for today's opening of   Line to    ,Relevant
Sat Sep 12 20:57:20 +0000 2015 Thanks  for inviting DOT  safety education to District 28 Day!   ,Non-Relevant
Fri Sep 11 20:45:02 +0000 2015 And now we unveil   with some boardgames on  in front of  with  ,Non-Relevant
Fri Sep 11 19:55:55 +0000 2015 Unveiling our 8th  in  on  in front of  ,Non-Relevant
Fri Sep 11 16:00:29 +0000 2015 Construction resumes on/about 9/15 at   'Like'  for project info.,Non-Relevant
Fri Sep 11 14:55:51 +0000 2015  is suspended Monday &amp; Tuesday for  Follow  for daily updates.,Relevant
Fri Sep 11 14:43:35 +0000 2015   &amp; please report transportation concerns to DOT's Qns Boro Comm office here:  (2/2),Non-Relevant
Fri Sep 11 14:42:21 +0000 2015   Please report reckless driving in progress to local police precinct (1/2),Non-Relevant
"Fri Sep 11 14:39:08 +0000 2015  Parking regulation info including T-intersections, may be found here:  - Parking is enforced by NYPD",Non-Relevant
Fri Sep 11 14:06:33 +0000 2015 More  public meetings about pedestrian &amp; bicycle access next week!  ,Non-Relevant
Thu Sep 10 21:24:02 +0000 2015 Excited to bring DOT's  to   this Sat 11am-4pm at   ,Non-Relevant
"Thu Sep 10 20:41:05 +0000 2015 Free helmets, child bike upgrades and riding lessons at  in  9/12 11am-2:30pm at 50 Kent Ave!",Non-Relevant
Thu Sep 10 19:31:14 +0000 2015 Updated time: Mn street closures Fri  7am-3pm (at NYPD discretion)   ,Non-Relevant
Thu Sep 10 18:25:05 +0000 2015 Due to mechanical difficulty  will be operating on a modified schedule (boats every 20 minutes) during the evening rush hour.,Non-Relevant
"Thu Sep 10 17:38:32 +0000 2015  Please call  to report traffic signal issues, thank you",Non-Relevant
Thu Sep 10 16:00:45 +0000 2015 Please note: Manhattan street closures for Fri  from 7am-5pm   ,Relevant
Thu Sep 10 15:24:46 +0000 2015  There are no parking restrictions on South End Avenue,Non-Relevant
"Thu Sep 10 14:46:15 +0000 2015 Kick off the school year with the   b/w 124th &amp; 126th St on Saturday, 9/12 from 12pm-5pm!",Non-Relevant
Thu Sep 10 14:45:57 +0000 2015   Scheduled road work is posted here:  and resurfacing locations here:,Non-Relevant
Thu Sep 10 14:34:56 +0000 2015  Please review our weekly traffic advisory for street closures on 9/11,Non-Relevant
Thu Sep 10 14:30:06 +0000 2015  Scheduled road closures posted  Contact DOT's Boro Comm re: specific location,Non-Relevant
Thu Sep 10 14:05:59 +0000 2015 Tonight 6:30pm Bx: Public meeting to improve ped &amp; bike access to/across   ,Non-Relevant
Thu Sep 10 14:03:34 +0000 2015   Please report location of faded lane markings to  here  Thank you,Non-Relevant
Thu Sep 10 13:38:25 +0000 2015  Please contact DOT Borough Commissioner's office to learn more about roadwork at this location:,Non-Relevant
"Wed Sep 09 20:25:39 +0000 2015 Soak in September Sundays at Astoria Park  9/13, 9/20 &amp; 9/27 1pm-6:30pm between the bridges!  ",Non-Relevant
Wed Sep 09 18:46:07 +0000 2015 Tonight 6:30pm: Public meeting to improve ped &amp; bike access to/across   ,Non-Relevant
Wed Sep 09 18:37:33 +0000 2015  Please call  to report debris on street. Or contact  to report the location:,Non-Relevant
Wed Sep 09 16:01:18 +0000 2015  If you're out of NYC you can still reach  by calling (212) NEW-YORK (212) 639-9675,Non-Relevant
"Wed Sep 09 15:59:53 +0000 2015  Please call Staten Island's St George Courthouse garage manager, Parking Systems Plus 718-524-1190 for rates",Non-Relevant
Wed Sep 09 15:53:39 +0000 2015  No posted schedule for lane markings; please contact DOT's Bk BC office for more info about this location,Non-Relevant
"Wed Sep 09 15:49:04 +0000 2015  Also, which website did you find non-working phone numbers? Our website is:",Non-Relevant
"Wed Sep 09 15:48:27 +0000 2015  Yes, overnight parking available at the St George Court House. More info here:",Non-Relevant
Wed Sep 09 13:24:40 +0000 2015 Unveiling new traffic &amp; pedestrian  outside    ,Non-Relevant
Wed Sep 09 13:20:17 +0000 2015 RT  Its  time in  Share these tips for a safe school year!  ,Non-Relevant
Tue Sep 08 19:19:09 +0000 2015  Download the 2015 NYC Truck Map for info:  No trucks/commercial vehicles on parkways (FDR) nor,Non-Relevant
"Tue Sep 08 19:12:40 +0000 2015   Yes, there is free wifi on all boats and in both terminals!",Non-Relevant
"Tue Sep 08 19:04:10 +0000 2015 Spend your Sept. Sundays at the Bloomingdale Family Days  on Amsterdam Ave b/w W 106th &amp; 110th St: 9/13, 9/20, 9/27, 11am-5pm!",Non-Relevant
Tue Sep 08 17:37:04 +0000 2015 Announcing completed deployment of speed cameras in 140 school locations in advance of the school year  ,Non-Relevant
Tue Sep 08 16:23:09 +0000 2015  Please call 311 to report issue with street light/traffic signal pole for immediate help. Report emergencies to 911.,Non-Relevant
Tue Sep 08 15:58:58 +0000 2015  Please call  to report an issue with a City vehicle. Report non-emergency illegal parking:,Non-Relevant
"Tue Sep 08 15:54:04 +0000 2015   Please report pothole location to  via DM, free 311 app or online",Non-Relevant
Tue Sep 08 15:52:13 +0000 2015  Please call  to report an issue with a city vehicle. Report non-emergency illegal parking:,Non-Relevant
Tue Sep 08 15:49:31 +0000 2015  Please report location of sidewalk obstruction to  or  here:,Non-Relevant
"Tue Sep 08 15:35:09 +0000 2015  road resurfacing S/B from E70-E63St Tues 9/8-Fri 9/11, approx 11pm-5am    Weekly updates",Non-Relevant
Tue Sep 08 14:16:05 +0000 2015 Laying out median extension to shorten ped crossings &amp; org traffic patterns  &amp;   ,Non-Relevant
Tue Sep 08 13:17:10 +0000 2015  Thanks for the suggestion! Please share it with us here:,Non-Relevant
Tue Sep 08 13:08:09 +0000 2015  Contact DOT's Commissioner with your transportation issue here  or report service request to,Non-Relevant
Tue Sep 08 13:05:30 +0000 2015  Please call  to report an issue with a City vehicle. Report non-emergency illegal parking here:,Non-Relevant
"Mon Sep 07 13:06:14 +0000 2015  and  parents: Call 212-839-4750 to set up a  check for your child this wk, 9/8 &amp; 9/11!",Non-Relevant
Mon Sep 07 11:45:52 +0000 2015 Take the day off from  thanks to  Follow  for daily Alternate Side Parking updates.,Non-Relevant
"Sat Sep 05 18:24:58 +0000 2015  For immediate attention,  all traffic signal reports should be made by phone to 311.",Non-Relevant
Fri Sep 04 21:31:25 +0000 2015 Signing off for the wknd! Send service requests  Follow  for alerts.  ,Non-Relevant
Fri Sep 04 19:16:17 +0000 2015 Help improve access to  at Access Plan Workshops 9/9 &amp; 9/10 for area south of,Non-Relevant
"Fri Sep 04 19:09:45 +0000 2015  Holiday Schedule for Labor Day: On Monday 9/7, service will be provided every 30 minutes 7 am-11 pm. Hourly service all other times",Non-Relevant
Fri Sep 04 17:49:20 +0000 2015 The Pulaski Bridge Pedestrian &amp; Bicycle Improvement Project is set to begin on Monday 9/14.  ,Non-Relevant
"Fri Sep 04 17:03:07 +0000 2015 Thanks to   will be suspended Monday, September 7th 2015. Follow  for daily updates.",Non-Relevant
Fri Sep 04 15:35:53 +0000 2015   is operating on regular posted schedule today. We anticipate a new schedule this fall.,Non-Relevant
Fri Sep 04 14:58:35 +0000 2015  Please use this form:  to provide details to our Staten Island Boro Commissioner.,Non-Relevant
Fri Sep 04 14:56:51 +0000 2015  Please use this form:  to provide details to our MN Boro Commissioner.,Non-Relevant
Fri Sep 04 14:44:59 +0000 2015    Please use this online form:  to report the location of the streetlight.,Non-Relevant
Fri Sep 04 14:38:02 +0000 2015  Please report illegal parking online:  or w- 311 app for routing to PD enforcement.,Non-Relevant
Thu Sep 03 18:34:21 +0000 2015 Our new Drive Smart pilot launched today! Learn more and apply at  ,Non-Relevant
Thu Sep 03 14:43:24 +0000 2015 Excited to announce our newest Neighborhood Slow Zone in   with   ,Non-Relevant
"Thu Sep 03 14:06:23 +0000 2015 Celebrate the Mid Autumn Moon Festival in  9/5 4pm-10pm, Forsyth St b/w Division &amp; Henry St  ",Non-Relevant
Wed Sep 02 20:16:35 +0000 2015  This segment is part of a DDC water main project. Upon completion of construction the protected bike lane will be restored.,Relevant
Wed Sep 02 19:46:29 +0000 2015 REVISED: Full closure of  North Tube for Fri 9/4 is cancelled. See below for continuing closures,Relevant
Wed Sep 02 17:41:45 +0000 2015  mural helps activate  pedestrian plaza! Painted by  &amp;  w/  ,Non-Relevant
Wed Sep 02 17:11:02 +0000 2015 DOT crews install new pedestrian island at W24th St on     ,Non-Relevant
Wed Sep 02 14:55:29 +0000 2015     Please call  to report litter and they will contact the appropriate agency. Thank you,Non-Relevant
Wed Sep 02 14:10:50 +0000 2015  Please feel free to share your transportation concern with DOT's Comm office here:,Non-Relevant
Wed Sep 02 14:01:12 +0000 2015   Pls report location of debris to   Share request w/DOT:,Non-Relevant
"Wed Sep 02 13:37:50 +0000 2015  Please send your suggestion to DOT Mn Boro Comm office for review, thanks!",Non-Relevant
Wed Sep 02 13:36:25 +0000 2015   Pls report location of road condition to   Vehicle damage claim form:,Non-Relevant
"Wed Sep 02 13:32:57 +0000 2015  Please share your suggestion with DOT's Bk Boro Comm office, you can reach them here:",Non-Relevant
Tue Sep 01 20:26:17 +0000 2015 Looking forward to unveiling  by  &amp;  Wed 1pm at 125th St./Park Ave  ,Non-Relevant
Tue Sep 01 19:35:46 +0000 2015  Please visit  for maps and information about driving a truck in NYC.,Non-Relevant
"Tue Sep 01 17:06:39 +0000 2015 Let there be light!  fishing pier receives street light repairs by DOT, in collaboration with  ",Non-Relevant
Tue Sep 01 16:07:29 +0000 2015  Please report broken meter to  via free 311 app/online/call 311. You may dispute parking ticket  ,Non-Relevant
Tue Sep 01 16:05:03 +0000 2015  Please report location of litter to  here:  Thanks,Non-Relevant
Tue Sep 01 16:00:16 +0000 2015   Please contact DOT's Qns Boro Comm office regarding your transportation suggestion,Non-Relevant
Tue Sep 01 15:55:21 +0000 2015    The bike lane is dashed so that vehicles may make a right turn.,Non-Relevant
Tue Sep 01 15:36:13 +0000 2015  ,Non-Relevant
"Tue Sep 01 14:25:47 +0000 2015   full closure, both directions 9/2 &amp; 9/3, 11pm-5am. Details below:",Relevant
Tue Sep 01 13:15:27 +0000 2015 . on the  New station at 67th St. &amp; Lexington Ave.  ,Non-Relevant
Mon Aug 31 20:48:55 +0000 2015 Check out 1st completed section of  btn Roosevelt &amp; 58th St. Cannot wait for the completed project in Oct!,Non-Relevant
Mon Aug 31 20:34:59 +0000 2015 This week DOT crews are resurfacing  southbound btn E81st-63rd Sts nightly (approx 11pm-5am),Non-Relevant
"Mon Aug 31 20:15:43 +0000 2015  North Tube (FDR to West St) FULLY CLOSED, one day only Fri 9/4, 12:01am-5am. Detour info below:",Relevant
Mon Aug 31 19:29:56 +0000 2015  Please report location including borough to  online here  or please call 311,Non-Relevant
Mon Aug 31 18:57:10 +0000 2015   Please report location of cave-in to  by calling 311 or online here,Non-Relevant
Mon Aug 31 18:02:48 +0000 2015 Beautiful pic! Friendly reminder that it's FREE to ride the   - and the views are amazing!,Non-Relevant
Mon Aug 31 17:33:12 +0000 2015 Contractors place concrete for east approach of temporary  More info:  ,Non-Relevant
Mon Aug 31 15:03:57 +0000 2015  Please contact Diane Park at  regarding this project. ph 718-482-4526,Non-Relevant
Mon Aug 31 14:25:46 +0000 2015 One week look ahead for  Rehabilitation Project. More updates via  ,Non-Relevant
Mon Aug 31 14:17:16 +0000 2015  Please report the location of debris on a street to,Non-Relevant
